IN_COMMENT     ! Find largest value between two numbers !
KEYWORD        int
IDENTIFIER     num1
SEPARATOR      ,
IDENTIFIER     num2
SEPARATOR      ,
IDENTIFIER     large$
KEYWORD        if
SEPARATOR      (
IDENTIFIER     num1
COMPARATOR     >=
IDENTIFIER     num2
SEPARATOR      )
SEPARATOR      {
IDENTIFIER     large
COMPARATOR     =
IDENTIFIER     num1$
END_STATEMENT  ;
IDENTIFIER     large
COMPARATOR     =
NUMBER         4
END_STATEMENT  ;
SEPARATOR      }
KEYWORD        else
SEPARATOR      {
IDENTIFIER     large
COMPARATOR     =
IDENTIFIER     num2$
END_STATEMENT  ;
SEPARATOR      }
